Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Corey Brewer,"Rockets, Lakers",2016-2017,REG,82,0.544,0.393,0.429,0.241,0,56.2,8.07,2.02,32.28,1.44,10.78,6.63,13.84
Davis Bertans,Spurs,2016-2017,REG,67,0.65,0.25,0.462,0.401,0,17.09,3.42,5.56,73.5,0.43,19.91,17.85,21.53
Reggie Williams,Pelicans,2016-2017,REG,6,0.333,0.5,0,0.455,0,26.09,8.7,17.39,47.83,0,16.17,16.38,16.07
Jarrod Uthoff,Mavericks,2016-2017,REG,9,0.5,0.5,0.2,0.333,0,42.11,21.05,13.16,23.68,0,11.42,9.38,12.91
Lucas Nogueira,Raptors,2016-2017,REG,57,0.721,0,0.4,0.3,0,87.18,1.92,3.21,6.41,1.28,3.84,1.61,8.17
Noah Vonleh,Trail Blazers,2016-2017,REG,74,0.516,0.267,0.467,0.316,0,70.63,5.58,16.73,7.06,0,6.71,5.49,7.83
Donatas Motiejunas,Pelicans,2016-2017,REG,34,0.53,0.458,0,0.234,0,47.83,17.39,0.72,34.06,0,11.96,8.54,14.37
Stanley Johnson,Pistons,2016-2017,REG,77,0.455,0.458,0.266,0.291,0,24.18,16.21,17.58,41.48,0.55,16.54,14.18,17.82
Pierre Jackson,Mavericks,2016-2017,REG,8,0.462,0.2,0.3,0.273,0,33.33,12.82,25.64,28.21,0,13.79,11.62,14.88
Jordan McRae,Cavaliers,2016-2017,REG,37,0.382,0.25,0.65,0.367,0,36.67,16,13.33,32.67,1.33,13.63,12.84,14.12
Ed Davis,Trail Blazers,2016-2017,REG,46,0.532,0.333,0,0,0,97.89,2.11,0,0,0,2.12,1.77,2.51
Dorian Finney-Smith,Mavericks,2016-2017,REG,81,0.536,0.2,0.304,0.298,0,32.93,2.99,6.89,56.29,0.9,16.08,12.22,18.36
Tyler Ennis,"Rockets, Lakers",2016-2017,REG,53,0.51,0.304,0.308,0.391,0,49.04,11.06,6.25,33.17,0.48,12.14,10.34,13.51
KJ McDaniels,"Rockets, Nets",2016-2017,REG,49,0.612,0.182,0.429,0.299,0,50,6.47,4.12,39.41,0,12.11,8.61,15.01
Brandon Rush,Timberwolves,2016-2017,REG,47,0.375,0.3,0.333,0.386,0,21.28,5.32,12.77,60.64,0,17.59,17.51,17.64
Pascal Siakam,Raptors,2016-2017,REG,55,0.563,0.382,0.448,0.167,0,66.18,16.67,14.22,2.94,0,6.52,5.18,7.88
Jason Terry,Bucks,2016-2017,REG,74,0.487,0.421,0.357,0.426,0,16.18,7.88,5.81,70.12,0,19.25,18.72,19.65
Ron Baker,Knicks,2016-2017,REG,52,0.462,0.286,0.48,0.272,0,43.06,6.48,11.57,37.5,1.39,13.72,10.63,15.58
Shabazz Napier,Trail Blazers,2016-2017,REG,53,0.432,0.385,0.441,0.362,0,23.78,7.03,18.38,50.81,0,17.62,16.93,18.07
Quincy Acy,Nets,2016-2017,REG,1,0,0,0,1,0,0,0,0,100,0,25,25,0
Edy Tavares,"Hawks, Cavaliers",2016-2017,REG,2,0.8,0,0,0,0,100,0,0,0,0,3.6,3.25,5
Justin Harper,76ers,2016-2017,REG,3,0.333,1,1,0.286,0,25,8.33,8.33,58.33,0,17.83,16.4,18.86
Patrick McCaw,Warriors,2016-2017,REG,71,0.636,0.313,0.222,0.333,0,35.92,6.53,7.35,50.2,0,15,11.29,17.83
Thon Maker,Bucks,2016-2017,REG,57,0.563,0.385,0.357,0.361,0,44.69,7.26,7.82,40.22,0,12.81,10.05,15.09
Kay Felder,Cavaliers,2016-2017,REG,42,0.431,0.296,0.432,0.318,0,41.14,17.09,27.85,13.92,0,10.99,10.27,11.45
Jarell Martin,Grizzlies,2016-2017,REG,42,0.391,0.429,0.37,0.36,0,60.53,4.61,17.76,16.45,0.66,9.22,8.28,9.8
Anthony Brown,"Pelicans, Magic",2016-2017,REG,11,0.5,0.333,0.5,0.259,0,24,6,16,54,0,17.84,15.17,19.34
Jonas Jerebko,Celtics,2016-2017,REG,78,0.549,0.231,0.625,0.36,0,39.38,5.02,6.18,48.26,1.16,14.97,12.5,16.92
Malik Beasley,Nuggets,2016-2017,REG,22,0.6,0.2,0.4,0.321,0,47.95,6.85,6.85,38.36,0,12.05,8.73,14.8
Kris Dunn,Timberwolves,2016-2017,REG,78,0.472,0.357,0.348,0.288,0,33.87,13.42,29.39,23.32,0,13.37,11.49,14.51
Malachi Richardson,Kings,2016-2017,REG,22,0.5,0.5,0.5,0.296,0,20.59,8.82,29.41,39.71,1.47,18.09,15.61,19.83
Adreian Payne,Timberwolves,2016-2017,REG,18,0.48,0.75,0.5,0.2,0,46.3,7.41,18.52,27.78,0,12.15,9.7,13.97
Tyler Zeller,Celtics,2016-2017,REG,51,0.581,0,0.378,0,0,66.46,4.43,28.48,0.63,0,7.13,5.42,8.8
Tyus Jones,Timberwolves,2016-2017,REG,60,0.508,0.483,0.25,0.361,0,32.6,16.02,11.05,39.78,0.55,14.41,12.45,15.79
Brian Roberts,Hornets,2016-2017,REG,41,0.333,0.3,0.464,0.386,0,24.59,16.39,22.95,36.07,0,15.71,16.35,15.33
Rashad Vaughn,Bucks,2016-2017,REG,41,0.465,0.1,0.455,0.321,0,27.56,6.41,14.1,51.92,0,16.83,14.96,17.91
Johnny O'Bryant III,"Nuggets, Hornets",2016-2017,REG,11,0.583,0.5,0.25,0.5,0,40,26.67,13.33,20,0,10.9,9.47,12.33
Jose Calderon,"Lakers, Hawks",2016-2017,REG,41,0.7,0.286,0.472,0.313,0,14.93,10.45,26.87,47.76,0,18.05,15.93,19.53
Kyle Anderson,Spurs,2016-2017,REG,72,0.53,0.429,0.294,0.395,0,48.08,16.83,16.35,18.27,0.48,10.65,8.34,12.51
Dejounte Murray,Spurs,2016-2017,REG,38,0.5,0.316,0.167,0.391,0,58.62,16.38,5.17,19.83,0,9.22,7.68,10.38
Dragan Bender,Suns,2016-2017,REG,43,0.571,0.5,0.214,0.28,0,26.25,2.5,8.75,62.5,0,17.72,14.32,19.6
Jared Sullinger,Raptors,2016-2017,REG,11,0.471,0.333,0.286,0.167,0,35.42,12.5,14.58,37.5,0,14.81,10.33,16.85
Gary Payton II,Bucks,2016-2017,REG,6,0.545,0.5,0,0.111,0,50,9.09,0,40.91,0,12.36,5.75,16.14
Norris Cole,Thunder,2016-2017,REG,13,0.357,0.3,0.333,0.231,0,26.92,19.23,28.85,25,0,14.38,13.69,14.69
Nicolas Laprovittola,Spurs,2016-2017,REG,18,0.471,1,0.5,0.37,0,36.17,2.13,4.26,57.45,0,15.79,14.15,17
Darrun Hilliard,Pistons,2016-2017,REG,39,0.481,0.471,0.389,0.261,0,21.43,13.49,28.57,36.51,0,16.22,13.55,17.81
Paul Pierce,Clippers,2016-2017,REG,25,0.625,0.556,0.3,0.349,0,11.43,12.86,14.29,61.43,0,19.51,17.64,20.76
Wade Baldwin,Grizzlies,2016-2017,REG,33,0.37,0.32,0.385,0.143,0,47.37,21.93,11.4,18.42,0.88,11.02,8.39,12.23
Henry Ellenson,Pistons,2016-2017,REG,19,0.6,0.2,0.3,0.294,0,23.44,7.81,15.63,53.13,0,17.23,14,19.05
Briante Weber,"Warriors, Hornets",2016-2017,REG,20,0.679,0.273,0.182,0.1,0,46.67,18.33,18.33,16.67,0,10.77,5.44,14.57
Jakob Poeltl,Raptors,2016-2017,REG,54,0.596,0.4,0,0,0,94.78,4.35,0.87,0,0,2.16,1.69,2.81
Maurice Ndour,Knicks,2016-2017,REG,32,0.636,0.3,0.308,0.143,0,52.38,23.81,15.48,8.33,0,8.35,5.21,11.07
Sheldon McClellan,Wizards,2016-2017,REG,30,0.478,0.727,0.364,0.241,0,31.08,14.86,14.86,39.19,0,14.92,12.37,16.66
Jarrett Jack,Pelicans,2016-2017,REG,2,1,0,1,0,0,33.33,0,33.33,33.33,0,14.67,10.5,23
Sasha Vujacic,Knicks,2016-2017,REG,42,0.167,0.2,0.375,0.315,0,8.82,7.35,29.41,53.68,0.74,20.22,21.05,19.85
Andrew Bogut,"Mavericks, Cavaliers",2016-2017,REG,27,0.485,0.417,0,0,0,83.95,14.81,0,1.23,0,3.91,2.97,4.74
Salah Mejri,Mavericks,2016-2017,REG,73,0.702,0.75,0.083,0.333,0,83.21,5.84,8.76,2.19,0,3.58,1.91,6.59
Lavoy Allen,Pacers,2016-2017,REG,61,0.541,0.267,0.37,0,0,58.33,8.93,32.14,0.6,0,8.4,6.71,9.82
Fred VanVleet,Raptors,2016-2017,REG,37,0.351,0.25,0.417,0.393,0,51.82,10.91,10.91,25.45,0.91,11.2,11.18,11.21
Alan Anderson,Clippers,2016-2017,REG,30,0.65,0.125,0.25,0.318,0,25,10,10,55,0,17.06,13.67,19.1
Jeff Withey,Jazz,2016-2017,REG,51,0.536,1,0.333,0,0,94.17,1.94,2.91,0,0.97,2.84,2.09,3.71
Semaj Christon,Thunder,2016-2017,REG,64,0.471,0.333,0.313,0.2,0.125,38.84,18.75,14.29,24.55,3.57,13.57,9.71,15.59
James Michael McAdoo,Warriors,2016-2017,REG,52,0.609,0.385,0.2,0.25,0,73.73,11.02,8.47,6.78,0,5.38,3.06,7.95
Chinanu Onuaku,Rockets,2016-2017,REG,5,0.714,0,0,0,0,100,0,0,0,0,1.71,1.2,3
Marcus Georges-Hunt,"Heat, Magic",2016-2017,REG,5,0.25,0,0,0.5,0,57.14,0,14.29,28.57,0,12,15,10.8
Okaro White,Heat,2016-2017,REG,35,0.457,0.364,0.143,0.353,0,40.23,12.64,8.05,39.08,0,12.92,11.39,13.85
Nicolas Brussino,Mavericks,2016-2017,REG,54,0.65,0.4,0.381,0.309,0,14.18,3.55,14.89,66.67,0.71,20.51,17.33,22.37
James Jones,Cavaliers,2016-2017,REG,48,0.5,0.8,0.385,0.47,0,8.7,5.43,14.13,71.74,0,20.85,20.39,21.27
Axel Toupane,"Bucks, Pelicans",2016-2017,REG,4,1,0,0.75,0.25,0,11.11,0,44.44,44.44,0,19.22,17.2,21.75
Kyle Singler,Thunder,2016-2017,REG,32,0.641,0.25,0.333,0.189,0,46.99,4.82,3.61,44.58,0,12.76,6.56,17.06
Marcelo Huertas,Lakers,2016-2017,REG,23,0.4,0.5,0,0.211,0,36.76,32.35,2.94,27.94,0,12.78,10.16,14.3
Wesley Johnson,Clippers,2016-2017,REG,68,0.629,0.5,0.432,0.259,0,17.77,6.09,18.78,56.85,0.51,18.66,15.25,20.68
DeAndre Bembry,Hawks,2016-2017,REG,37,0.6,0.3,0.8,0.059,0,66.33,10.2,5.1,17.35,1.02,7.71,3.66,11.45
Tomas Satoransky,Wizards,2016-2017,REG,57,0.472,0.48,0.5,0.25,0,49.32,17.12,8.22,24.66,0.68,11.11,8.75,12.8
Christian Wood,Hornets,2016-2017,REG,13,0.706,0,0,0,0,73.91,4.35,0,21.74,0,6.91,0.5,13.91
Omer Asik,Pelicans,2016-2017,REG,31,0.476,0,0,0,0,98.44,1.56,0,0,0,1.22,0.53,1.82
Andrew Nicholson,"Wizards, Nets",2016-2017,REG,38,0.574,0.233,0.571,0.192,0,42.34,27.03,6.31,23.42,0.9,11.66,8.19,13.85
Bryn Forbes,Spurs,2016-2017,REG,36,0.25,0.2,0.536,0.321,0,8.08,10.1,28.28,53.54,0,19.79,20.28,19.51
Kevon Looney,Warriors,2016-2017,REG,53,0.616,0.167,0,0.222,0,80.37,5.61,5.61,8.41,0,4.75,1.75,8.04
Pat Connaughton,Trail Blazers,2016-2017,REG,39,0.655,0,0.143,0.515,0,40.28,4.17,9.72,45.83,0,14.18,12.51,15.94
Miles Plumlee,"Bucks, Hornets",2016-2017,REG,45,0.5,0.25,0,0,0,91.3,8.7,0,0,0,2.68,1.66,3.63
Mike Scott,Hawks,2016-2017,REG,18,0.5,0.308,0.5,0.148,0,24.14,22.41,6.9,46.55,0,15.9,11.06,17.9
Raul Neto,Jazz,2016-2017,REG,40,0.595,0.3,0.333,0.345,0,45.65,10.87,9.78,31.52,2.17,13.07,8.68,16.59
Bobby Brown,Rockets,2016-2017,REG,25,0.222,0.444,0.429,0.4,0,15,15,11.67,58.33,0,19.53,20.26,19.08
DeAndre Liggins,"Cavaliers, Mavericks",2016-2017,REG,62,0.467,0,0.2,0.386,0,52.82,4.23,10.56,30.99,1.41,11.15,8.8,12.63
James Young,Celtics,2016-2017,REG,29,0.733,0.25,0.25,0.324,0,26.32,7.02,7.02,59.65,0,17.47,13.38,20.45
Chris Andersen,Cavaliers,2016-2017,REG,12,0.5,0.5,0.333,0,0,63.64,9.09,13.64,13.64,0,7,3.11,9.69
Greivis Vasquez,Nets,2016-2017,REG,3,0,0.5,0,0.333,0,37.5,25,0,37.5,0,13.75,20.5,11.5
Metta World Peace,Lakers,2016-2017,REG,25,0.462,0.5,0.154,0.243,0,19.12,5.88,19.12,54.41,1.47,19.15,15.89,20.41
Chris McCullough,"Nets, Wizards",2016-2017,REG,16,0.563,1,0.4,0.143,0,50,12.5,15.63,21.88,0,10.44,7.69,13.19
Jake Layman,Trail Blazers,2016-2017,REG,35,0.526,0.2,0.143,0.26,0,21.35,5.62,15.73,56.18,1.12,18.3,14.81,19.75
AJ Hammons,Mavericks,2016-2017,REG,22,0.455,0,0.467,0.5,0,26.19,14.29,35.71,23.81,0,14.79,15.06,14.6
Treveon Graham,Hornets,2016-2017,REG,27,0.429,0.6,0.167,0.6,0,35,12.5,15,37.5,0,13.58,14.53,12.71
Rakeem Christmas,Pacers,2016-2017,REG,28,0.528,0,0,0,0,85.71,9.52,4.76,0,0,3.21,1.58,4.57
Joe Young,Pacers,2016-2017,REG,33,0.533,0.267,0.474,0.227,0,20.83,20.83,26.39,30.56,1.39,15.78,13.27,17.2
Demetrius Jackson,Celtics,2016-2017,REG,5,1,0,0.5,1,0,25,0,50,25,0,14.5,14,16
Manny Harris,Mavericks,2016-2017,REG,4,0.25,1,0,0,0,53.33,6.67,26.67,13.33,0,9.87,3,11.58
Gary Neal,Hawks,2016-2017,REG,2,0,0,0,0,0,0,14.29,57.14,28.57,0,19.14,0,19.14
Tim Quarterman,Trail Blazers,2016-2017,REG,16,0.625,0.25,0.5,0.455,0,29.63,14.81,14.81,40.74,0,15.26,14.15,16.29
Damian Jones,Warriors,2016-2017,REG,10,0.778,0,0.143,0,0,56.25,0,43.75,0,0,8,2.75,13.25
Marshall Plumlee,Knicks,2016-2017,REG,21,0.577,0,0.333,0,0,89.66,0,10.34,0,0,3.59,2.44,5
Joel Bolomboy,Jazz,2016-2017,REG,12,0.727,0,0,0.25,0,68.75,0,6.25,25,0,8.19,3.89,13.71
Damjan Rudez,Magic,2016-2017,REG,45,0.6,0.5,0.4,0.313,0,5.68,4.55,17.05,72.73,0,21.85,20.74,22.46
Udonis Haslem,Heat,2016-2017,REG,17,0.688,0,0,0,0,69.57,0,17.39,13.04,0,7.52,1.73,12.83
Lamar Patterson,Hawks,2016-2017,REG,5,0.143,0.5,0,0.167,0,46.67,13.33,0,40,0,12.47,11.33,12.75
John Jenkins,Suns,2016-2017,REG,4,0,0,0.333,0.5,0,0,0,60,40,0,21.2,23,20
Jordan Hill,Timberwolves,2016-2017,REG,7,0.429,0,0.667,0,0,53.85,23.08,23.08,0,0,7.54,7.2,7.75
Cole Aldrich,Timberwolves,2016-2017,REG,62,0.536,0,0,0,0,97.67,2.33,0,0,0,2.58,1.8,3.44
Nick Collison,Thunder,2016-2017,REG,20,0.706,0.25,1,0,0,73.91,17.39,4.35,4.35,0,4.78,3.29,7.11
Deyonta Davis,Grizzlies,2016-2017,REG,36,0.622,0,0.111,0,0,78.72,2.13,19.15,0,0,4.85,1.79,8.04
Bruno Caboclo,Raptors,2016-2017,REG,9,0.286,0,0.667,0.333,0,43.75,0,18.75,37.5,0,13.31,14.5,12.6
Ryan Kelly,Hawks,2016-2017,REG,16,0.2,0.5,0.167,0.4,0,35.71,7.14,21.43,35.71,0,14.79,15.75,14.4
Jordan Mickey,Celtics,2016-2017,REG,25,0.481,0,0.4,0,0,79.41,2.94,14.71,2.94,0,4.82,3,6.26
Jarnell Stokes,Nuggets,2016-2017,REG,2,1,0,0,0,0,100,0,0,0,0,1,1,0
Elijah Millsap,Suns,2016-2017,REG,2,0.5,0,0,0,0,28.57,14.29,28.57,28.57,0,13.57,2,15.5
Diamond Stone,Clippers,2016-2017,REG,7,0.2,0,0.5,0,0,38.46,30.77,30.77,0,0,9.77,12,9.1
Mike Miller,Nuggets,2016-2017,REG,20,0.5,0,0,0.4,0,8.7,0,4.35,86.96,0,23,23,23
Brice Johnson,Clippers,2016-2017,REG,3,0.333,0,0,0,0,85.71,14.29,0,0,0,5.14,1,6.8
Joel Anthony,Spurs,2016-2017,REG,19,0.692,0.333,0,0,0,81.25,18.75,0,0,0,3.38,2.5,4.83
Anderson Varejao,Warriors,2016-2017,REG,14,0.273,0.667,0,0,0,78.57,21.43,0,0,0,4.5,5.4,4
Daniel Ochefu,Wizards,2016-2017,REG,19,0.476,0.4,0,0,0,77.78,18.52,3.7,0,0,3.44,2.17,4.47
Stephen Zimmerman,Magic,2016-2017,REG,19,0.412,0.2,0.25,0,0,54.84,32.26,12.9,0,0,7.65,5.3,8.76
Ronnie Price,Suns,2016-2017,REG,14,0,0.5,0,0.176,0,12.5,8.33,8.33,70.83,0,20.71,20.5,20.75
Mike Tobey,Hornets,2016-2017,REG,2,0.333,0,0,0,0,75,0,25,0,0,5.25,1,6.67
CJ Wilcox,Magic,2016-2017,REG,22,0,1,0.364,0.2,0,12.9,3.23,35.48,48.39,0,18.97,19.88,18.65
Kyle Wiltjer,Rockets,2016-2017,REG,14,0,0,0,0.308,0,0,0,7.14,92.86,0,25.14,26.5,24.6
Georges Niang,Pacers,2016-2017,REG,23,0.421,0,0,0.083,0,52.78,11.11,2.78,33.33,0,11.56,4.89,13.78
Alonzo Gee,Nuggets,2016-2017,REG,13,0.429,0,0,0,0,53.85,23.08,0,23.08,0,10.31,0.67,13.2
Larry Sanders,Cavaliers,2016-2017,REG,5,0.25,0,0,0,0,100,0,0,0,0,2.25,0,3
Isaiah Taylor,Rockets,2016-2017,REG,4,0,0,1,0,0,57.14,0,14.29,28.57,0,11.29,16,10.5
Steve Novak,Bucks,2016-2017,REG,8,0,1,0,0.167,0,0,14.29,0,85.71,0,22.86,15.5,25.8
Arinze Onuaku,Magic,2016-2017,REG,8,1,0,0,0,0,50,50,0,0,0,7.75,5.5,10
Michael Gbinije,Pistons,2016-2017,REG,9,0.25,0,0,0,0,40,0,20,40,0,13.8,0,15.33
John Lucas III,Timberwolves,2016-2017,REG,5,1,0,0,0,0,25,50,0,25,0,13,1,17
Aaron Harrison,Hornets,2016-2017,REG,5,0,0,0,0,0,0,0,50,50,0,21.75,0,21.75
Patricio Garino,Magic,2016-2017,REG,5,0,0,0,0,0,0,0,28.57,71.43,0,22.43,0,22.43
Danuel House,Wizards,2016-2017,REG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Bentil,Mavericks,2016-2017,REG,3,0,0,0,0,0,33.33,0,33.33,33.33,0,15,0,15
RJ Hunter,Bulls,2016-2017,REG,3,0,0,0,0,0,0,0,0,100,0,24,0,24
