Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Matthew Dellavedova,Bucks,2016-2017,REG,76,0.452,0.333,0.366,0.361,0,34.9,16.89,7.69,40.53,0,14.66,13.88,15.15
Andre Iguodala,Warriors,2016-2017,REG,76,0.727,0.294,0.545,0.366,0,39.86,4.11,13.29,42.27,0.48,13.67,10.09,17.7
Manu Ginobili,Spurs,2016-2017,REG,69,0.45,0.351,0.125,0.399,0,29.84,12.98,5.47,50.8,0.91,16.05,15.03,16.7
Ivica Zubac,Lakers,2016-2017,REG,38,0.556,0.452,0.571,0,0,72.15,17.72,8.86,0.84,0.42,5.82,5.06,6.68
Iman Shumpert,Cavaliers,2016-2017,REG,76,0.539,0.317,0.474,0.356,0,18.24,8.4,19.88,53.48,0,17.85,16.47,18.81
Isaiah Whitehead,Nets,2016-2017,REG,73,0.485,0.357,0.313,0.303,0,52.96,8.3,9.49,28.66,0.59,11.23,8.58,13.02
Timofey Mozgov,Lakers,2016-2017,REG,54,0.569,0.4,0.446,0,0,64.33,18.29,17.07,0.3,0,6.52,5.46,7.66
Alan Williams,Suns,2016-2017,REG,47,0.541,0.422,0,0,0,82.4,16.85,0.37,0,0.37,4.17,3.23,5.17
Spencer Dinwiddie,Nets,2016-2017,REG,59,0.508,0.37,0.556,0.374,0.5,40.13,17.76,8.88,32.57,0.66,13.03,11.67,14.11
Archie Goodwin,"Pelicans, Nets",2016-2017,REG,15,0.609,1,0.5,0.357,0,69.7,1.52,6.06,21.21,1.52,8.26,5.78,11.23
Danny Green,Spurs,2016-2017,REG,68,0.514,0.235,0.406,0.383,0,16.07,7.59,7.14,68.75,0.45,19.44,18.41,20.1
David Lee,Spurs,2016-2017,REG,79,0.638,0.423,0.355,0,0,80.24,12.38,7.38,0,0,4.2,3.03,5.88
Tyler Ulis,Suns,2016-2017,REG,61,0.451,0.493,0.411,0.288,0,18.72,33.79,29.45,16.67,1.37,14.86,13.32,15.98
Rodney Stuckey,Pacers,2016-2017,REG,39,0.442,0.438,0.288,0.316,0,31.69,19.75,24.28,23.46,0.82,13.91,11.81,15.14
Thabo Sefolosha,Hawks,2016-2017,REG,62,0.582,0.286,0.361,0.347,0,43.48,10.74,15.6,30.18,0,12.03,9.47,14.09
Larry Nance Jr.,Lakers,2016-2017,REG,63,0.65,0.345,0.443,0.303,0,55.1,15.98,19.28,9.09,0.55,8.84,6.27,11.69
Tim Frazier,Pelicans,2016-2017,REG,65,0.514,0.225,0.397,0.313,0,42.82,9.9,15.59,31.68,0,12.95,10.69,14.48
Brandon Jennings,"Knicks, Wizards",2016-2017,REG,81,0.415,0.443,0.323,0.317,0,29.78,11.42,11.61,46.63,0.56,15.94,14.26,16.89
Matt Barnes,"Kings, Warriors",2016-2017,REG,74,0.526,0.105,0.395,0.331,0,32.56,4.02,8.03,54.97,0.42,16.3,13.73,17.93
Joe Ingles,Jazz,2016-2017,REG,82,0.606,0.167,0.282,0.442,0,24.17,5.32,8.65,61.64,0.22,17.67,16.33,18.77
Anthony Tolliver,Kings,2016-2017,REG,65,0.637,0.261,0.421,0.392,0,22.92,6.59,5.44,65.04,0,18.02,16,19.62
Justin Anderson,"Mavericks, 76ers",2016-2017,REG,75,0.622,0.278,0.136,0.304,0,42.43,8.26,5.05,43.81,0.46,13.72,9.22,17.07
Solomon Hill,Pelicans,2016-2017,REG,80,0.481,0.267,0.214,0.353,0,34.18,6.33,2.95,56.12,0.42,15.88,13.92,17.12
Josh Huestis,Thunder,2016-2017,REG,2,0.6,0,0.5,0.5,0,45.45,0,18.18,36.36,0,12.36,10.83,14.2
Justin Hamilton,Nets,2016-2017,REG,64,0.669,0.395,0.455,0.301,0,38.95,10,2.89,48.16,0,14.12,10.24,17.4
TJ McConnell,76ers,2016-2017,REG,81,0.532,0.462,0.347,0.196,0,54.51,25.49,9.61,10,0.39,8.66,6.51,10.51
Patrick Patterson,Raptors,2016-2017,REG,65,0.512,0.4,0.25,0.369,1,21.88,9.11,3.13,65.63,0.26,18.16,16.99,18.94
Ian Clark,Warriors,2016-2017,REG,77,0.636,0.416,0.547,0.381,0,32.33,17.78,12.24,36.95,0.69,14.49,12.31,16.57
Bobby Portis,Bulls,2016-2017,REG,64,0.636,0.4,0.474,0.337,0,38.13,16,20.27,25.33,0.27,12.7,10.14,15.15
Jared Dudley,Suns,2016-2017,REG,64,0.65,0.522,0.483,0.381,0,17.39,6.67,17.39,58.55,0,18.8,16.83,20.45
Lance Stephenson,"Pelicans, Timberwolves, Pacers",2016-2017,REG,18,0.628,0.286,0.417,0.316,0,35.83,17.5,30,15.83,0.83,12.69,9.96,14.92
John Henson,Bucks,2016-2017,REG,58,0.552,0.438,0.24,0,0,81.55,10.36,8.09,0,0,4.4,3.06,5.82
Brandan Wright,Grizzlies,2016-2017,REG,28,0.67,0.391,0.5,0,0,80.74,17.04,1.48,0.74,0,3.44,2.28,5.29
Alec Burks,Jazz,2016-2017,REG,42,0.424,0.512,0.333,0.333,0,39.92,17.34,12.1,30.24,0.4,12.45,11.52,13.07
Raymond Felton,Clippers,2016-2017,REG,80,0.564,0.306,0.385,0.338,0,39.84,9.57,22.85,26.56,1.17,13.55,10.6,15.79
Devin Harris,Mavericks,2016-2017,REG,65,0.496,0.417,0.419,0.343,0,35.59,3.53,9.12,49.71,2.06,15.78,13.18,17.5
James Ennis,Grizzlies,2016-2017,REG,64,0.544,0.5,0.286,0.37,0,49.84,1.25,6.54,42.06,0.31,12.58,9.91,14.77
Dwight Powell,Mavericks,2016-2017,REG,77,0.696,0.391,0.293,0.288,0,54.26,6.12,19.95,19.41,0.27,10.05,5.98,14.38
PJ Tucker,"Suns, Raptors",2016-2017,REG,81,0.451,0.476,0.433,0.359,0,44.28,8.73,6.24,40.54,0.21,12.86,11.6,13.76
Marcus Thornton,Wizards,2016-2017,REG,33,0.493,0.435,0.294,0.35,0,34.76,10.95,16.19,38.1,0,14.6,12.86,15.75
Kosta Koufos,Kings,2016-2017,REG,71,0.588,0.418,0,0,0,79.34,20.15,0.26,0,0.26,4.34,3.39,5.51
Andre Roberson,Thunder,2016-2017,REG,79,0.618,0,0.333,0.247,0,58.75,0.43,1.3,39.31,0.22,10.45,5.72,14.55
Jaylen Brown,Celtics,2016-2017,REG,78,0.563,0.381,0.29,0.351,0,50.84,10.02,7.4,31.26,0.48,11.27,8.37,13.69
Michael Carter-Williams,Bulls,2016-2017,REG,45,0.454,0.317,0.296,0.234,0,49.67,20.59,8.82,20.92,0,10.63,8.03,12.13
Dante Cunningham,Pelicans,2016-2017,REG,66,0.64,0.353,0.472,0.387,0,34.82,4.74,10.03,50.42,0,14.86,12.33,17.22
Sam Dekker,Rockets,2016-2017,REG,77,0.603,0.3,0.556,0.326,0,52.09,2.33,2.09,42.79,0.7,12.17,8.51,15.44
Amir Johnson,Celtics,2016-2017,REG,80,0.633,0.435,0.4,0.409,0,74.53,6.23,1.36,17.89,0,6.6,4.92,8.91
Timothe Luwawu,76ers,2016-2017,REG,69,0.522,0.077,0.125,0.314,0,49.72,3.63,2.23,44.41,0,12.54,9.32,14.73
Mirza Teletovic,Bucks,2016-2017,REG,70,0.492,0.4,0.435,0.344,0,15.59,6,5.52,72.42,0.48,20.5,19.07,21.35
Darrell Arthur,Nuggets,2016-2017,REG,41,0.5,0.444,0.364,0.453,0,16.74,8.37,20.47,54.42,0,18.34,18,18.62
Rodney McGruder,Heat,2016-2017,REG,78,0.563,0.333,0.321,0.332,0,34.93,11.14,6.11,47.38,0.44,14.74,11.7,16.85
Kelly Oubre,Wizards,2016-2017,REG,79,0.567,0.395,0.405,0.292,0,40.72,8.6,8.37,41.86,0.45,13.52,10.09,16.01
Kyle O'Quinn,Knicks,2016-2017,REG,79,0.63,0.4,0.406,0.143,0,57.04,13.35,25.73,3.4,0.49,8.5,5.97,11.25
Mindaugas Kuzminskas,Knicks,2016-2017,REG,68,0.541,0.333,0.286,0.321,0,49.18,3.26,1.9,45.65,0,12.75,9.57,15.14
Leandro Barbosa,Suns,2016-2017,REG,67,0.534,0.364,0.389,0.357,0,40.97,11.2,22.9,24.94,0,12.55,10.59,14.07
Jonathan Gibson,Mavericks,2016-2017,REG,17,0.4,0.5,0.333,0.341,0,21.05,12.63,18.95,46.32,1.05,17.44,16.31,18.1
Spencer Hawes,"Hornets, Bucks",2016-2017,REG,54,0.646,0.435,0.304,0.313,0,46.01,16.67,8.33,28.99,0,11.47,8.18,14.57
Dante Exum,Jazz,2016-2017,REG,66,0.532,0.5,0.273,0.299,0,51.65,4.4,3.02,40.38,0.55,11.84,8.61,14.24
Ramon Sessions,Hornets,2016-2017,REG,50,0.441,0.32,0.292,0.339,0,48.29,19.01,9.13,23.57,0,10.72,9.2,11.66
Mike Muscala,Hawks,2016-2017,REG,70,0.655,0.472,0.446,0.434,0,34.35,16.11,17.02,32.22,0.3,13.46,11.35,15.72
Nemanja Bjelica,Timberwolves,2016-2017,REG,65,0.564,0.333,0.4,0.316,0,41.74,5.88,2.8,49.58,0,14.27,11.03,16.66
Trey Lyles,Jazz,2016-2017,REG,71,0.464,0.259,0.366,0.322,0,31.96,12.33,9.36,46.12,0.23,15.09,13.38,16.07
Jonathon Simmons,Spurs,2016-2017,REG,78,0.539,0.383,0.316,0.306,0,45.84,11.16,18.76,23.28,0.95,11.56,8.56,13.73
Chandler Parsons,Grizzlies,2016-2017,REG,34,0.487,0.333,0.13,0.269,0,34.23,13.51,10.36,41.89,0,14.55,11.01,16.36
Troy Williams,"Grizzlies, Rockets",2016-2017,REG,30,0.558,0.5,0.3,0.295,0,51.81,4.82,6.02,36.75,0.6,11.87,8.26,14.7
JaVale McGee,Warriors,2016-2017,REG,77,0.685,0.316,0,0,0,92.48,5.96,0.63,0.63,0.31,2.13,0.97,4.3
Glenn Robinson,Pacers,2016-2017,REG,69,0.575,0.469,0.427,0.4,0,31.36,9.47,22.19,36.98,0,14.88,13.16,16.39
